original_class,passage,index,predicted_class
sports,"The Rundown: Recall this little score from last season: Sooners 77, Aggies 0. Think folks in College Station remember that? This could have been the most important game in the Big 12 #39;s season, but Texas A amp;M slipped up ",287,sports
science_technology,"Touches of Weird, Done Best in Japan: NO one does weird quite as well as Japanese game designers and animators. In this spirit, three new video games bring the bizarre home.",288,science_technology
world,"Greece gets onto Security Council: For only the second time in its history, Greece has been awarded a non-permanent seat in the UN Security Council after a vote in New York yesterday.",289,world
business,"Marvel 3Q Profit Falls but Sales Surge: Toy company Marvel Enterprises Inc. on Thursday blamed a sharp drop in third-quarter profit on a tax swing in the period, but the company still beat Wall Street expectations as sales and license fees soared from sales of Spider-Man merchandise.",290,business
business,"Gasoline Price Up, Diesel Hits Record (Reuters): Reuters - Rising crude oil costs are taking a\toll on U.S. consumers, as the national price for gasoline\jumped 5.1 cents a gallon over the last week and diesel fuel\hit a record high, the government said on Monday.",291,business
world,"Revealing Hospital Gowns Redesigned: PORTLAND, Maine - Whether its blue or spotted or stripped, the standard issue hospital gown is drafty and revealing. It's embarrassing for just about anyone who's spent a night in a medical center...",292,world
science_technology,"Microsoft issues one fix in monthly security update: In sharp contrast to last month #39;s barrage of critical patches, Microsoft has offered up just one  quot;important quot; fix for users to implement in its scheduled round of security updates for November.",293,science_technology
science_technology,"IntelSat Regains Control Of Key Satellite: Intelsat Ltd. has regained communications with a satellite that it lost track of last weekend, but engineers do not know if they will be able to fully restore service. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/b&gt;&lt;/font&gt;",294,science_technology
sports,"Yankees double their fun: Alex Rodriguez and Hideki Matsui each hit two-run doubles, and Jon Lieber struck out a season-high nine to lead the Yankees past the Tampa Bay Devil Rays, 11-2, last night in New York.",295,sports
world,"Deadliest attacks in Iraq insurgency: BAGHDAD, Sept 30 (AFP) - At least 41 people were killed, most of them children, and scores wounded after three car bombs exploded in western Baghdad on Thursday, the latest in a string of bloody bombings in Iraq.",296,world
world,"Nigerian unions threaten to resume strike over fuel price hike on &lt;b&gt;...&lt;/b&gt;: Nigerian workers will go on strike protesting recent 25 percent increase of petroleum products from Nov. 16, a leading trade unionist said here Sunday.",297,world
business,"Visteon offers as much as year #39;s pay in buyout: Visteon Corp., the second-biggest US maker of auto parts, is offering buyouts of as much as a year #39;s pay to US salaried workers to help cut costs.",298,business
business,"Profits Are Up 24 at Disney and So, It Says, Is Teamwork: Buoyed by the strong performance of ESPN and its other cable channels, the Walt Disney Company said that its profit rose 24 percent in the fourth quarter.",299,business
